Couldn't import CARP-S, the CARP-S Hypersweeper will not be available.
Couldn't import DEHB, the DEHB Hypersweeper will not be available.
Couldn't import HEBO, the HEBO Hypersweeper will not be available.
Couldn't import NEPS, the NEPS Hypersweeper will not be available.
Couldn't import Nevergrad, the Nevergrad Hypersweeper will not be available.
Frame 243, AvgReward(10): 0.24, ε=0.658
Frame 390, AvgReward(10): 0.39, ε=0.493
Frame 516, AvgReward(10): 0.52, ε=0.385
Frame 619, AvgReward(10): 0.62, ε=0.315
Frame 727, AvgReward(10): 0.73, ε=0.256
Frame 833, AvgReward(10): 0.83, ε=0.209
Frame 929, AvgReward(10): 0.93, ε=0.174
Frame 1028, AvgReward(10): 1.03, ε=0.145
Frame 1154, AvgReward(10): 1.15, ε=0.115
Frame 1249, AvgReward(10): 1.25, ε=0.097
Frame 1350, AvgReward(10): 1.35, ε=0.081
Frame 1440, AvgReward(10): 1.44, ε=0.069
Frame 1538, AvgReward(10): 1.54, ε=0.059
Frame 1633, AvgReward(10): 1.63, ε=0.050
Frame 1733, AvgReward(10): 1.73, ε=0.043
Frame 1825, AvgReward(10): 1.82, ε=0.037
Frame 1920, AvgReward(10): 1.92, ε=0.033
Frame 2018, AvgReward(10): 2.02, ε=0.029
Frame 2132, AvgReward(10): 2.13, ε=0.025
Frame 2225, AvgReward(10): 2.23, ε=0.022
Frame 2316, AvgReward(10): 2.32, ε=0.020
Frame 2414, AvgReward(10): 2.41, ε=0.018
Frame 2510, AvgReward(10): 2.51, ε=0.017
Frame 2609, AvgReward(10): 2.61, ε=0.016
Frame 2705, AvgReward(10): 2.71, ε=0.015
Frame 2796, AvgReward(10): 2.80, ε=0.014
Frame 2891, AvgReward(10): 2.89, ε=0.013
Frame 2979, AvgReward(10): 2.98, ε=0.013
Frame 3084, AvgReward(10): 3.08, ε=0.012
Frame 3177, AvgReward(10): 3.18, ε=0.012
Frame 3273, AvgReward(10): 3.27, ε=0.012
Frame 3367, AvgReward(10): 3.37, ε=0.011
Frame 3459, AvgReward(10): 3.46, ε=0.011
Frame 3551, AvgReward(10): 3.55, ε=0.011
Frame 3650, AvgReward(10): 3.65, ε=0.011
Frame 3746, AvgReward(10): 3.75, ε=0.011
Frame 3841, AvgReward(10): 3.84, ε=0.010
Frame 3934, AvgReward(10): 3.93, ε=0.010
Frame 4026, AvgReward(10): 4.03, ε=0.010
Frame 4127, AvgReward(10): 4.13, ε=0.010
Frame 4220, AvgReward(10): 4.22, ε=0.010
Frame 4313, AvgReward(10): 4.31, ε=0.010
Frame 4407, AvgReward(10): 4.41, ε=0.010
Frame 4502, AvgReward(10): 4.50, ε=0.010
Frame 4594, AvgReward(10): 4.59, ε=0.010
Frame 4683, AvgReward(10): 4.68, ε=0.010
Frame 4776, AvgReward(10): 4.78, ε=0.010
Frame 4867, AvgReward(10): 4.87, ε=0.010
Frame 4957, AvgReward(10): 4.96, ε=0.010
Frame 5066, AvgReward(10): 5.07, ε=0.010
Frame 5167, AvgReward(10): 5.17, ε=0.010
Frame 5258, AvgReward(10): 5.26, ε=0.010
Frame 5350, AvgReward(10): 5.35, ε=0.010
Frame 5443, AvgReward(10): 5.44, ε=0.010
Frame 5540, AvgReward(10): 5.54, ε=0.010
Frame 5632, AvgReward(10): 5.63, ε=0.010
Frame 5723, AvgReward(10): 5.72, ε=0.010
Frame 5814, AvgReward(10): 5.81, ε=0.010
Frame 5904, AvgReward(10): 5.90, ε=0.010
Frame 5999, AvgReward(10): 6.00, ε=0.010
Frame 6094, AvgReward(10): 6.09, ε=0.010
Frame 6188, AvgReward(10): 6.19, ε=0.010
Frame 6283, AvgReward(10): 6.28, ε=0.010
Frame 6371, AvgReward(10): 6.37, ε=0.010
Frame 6462, AvgReward(10): 6.46, ε=0.010
Frame 6560, AvgReward(10): 6.56, ε=0.010
Frame 6655, AvgReward(10): 6.66, ε=0.010
Frame 6743, AvgReward(10): 6.74, ε=0.010
Frame 6835, AvgReward(10): 6.83, ε=0.010
Frame 6928, AvgReward(10): 6.93, ε=0.010
Frame 7025, AvgReward(10): 7.03, ε=0.010
Frame 7141, AvgReward(10): 7.14, ε=0.010
Frame 7236, AvgReward(10): 7.24, ε=0.010
Frame 7328, AvgReward(10): 7.33, ε=0.010
Frame 7421, AvgReward(10): 7.42, ε=0.010
Frame 7510, AvgReward(10): 7.51, ε=0.010
Frame 7607, AvgReward(10): 7.61, ε=0.010
Frame 7702, AvgReward(10): 7.70, ε=0.010
Frame 7796, AvgReward(10): 7.80, ε=0.010
Frame 7891, AvgReward(10): 7.89, ε=0.010
Frame 7983, AvgReward(10): 7.98, ε=0.010
Frame 8099, AvgReward(10): 8.10, ε=0.010
Frame 8191, AvgReward(10): 8.19, ε=0.010
Frame 8284, AvgReward(10): 8.28, ε=0.010
Frame 8380, AvgReward(10): 8.38, ε=0.010
Frame 8470, AvgReward(10): 8.47, ε=0.010
Frame 8562, AvgReward(10): 8.56, ε=0.010
Frame 8655, AvgReward(10): 8.65, ε=0.010
Frame 8745, AvgReward(10): 8.74, ε=0.010
Frame 8845, AvgReward(10): 8.85, ε=0.010
Frame 8936, AvgReward(10): 8.94, ε=0.010
Frame 9026, AvgReward(10): 9.03, ε=0.010
Frame 9130, AvgReward(10): 9.13, ε=0.010
Frame 9221, AvgReward(10): 9.22, ε=0.010
Frame 9314, AvgReward(10): 9.31, ε=0.010
Frame 9410, AvgReward(10): 9.41, ε=0.010
Frame 9501, AvgReward(10): 9.50, ε=0.010
Frame 9595, AvgReward(10): 9.60, ε=0.010
Frame 9692, AvgReward(10): 9.69, ε=0.010
Frame 9785, AvgReward(10): 9.79, ε=0.010
Frame 9876, AvgReward(10): 9.63, ε=0.010
Frame 9972, AvgReward(10): 9.58, ε=0.010
Frame 10092, AvgReward(10): 9.58, ε=0.010
Frame 10188, AvgReward(10): 9.57, ε=0.010
Frame 10283, AvgReward(10): 9.56, ε=0.010
Frame 10377, AvgReward(10): 9.54, ε=0.010
Frame 10475, AvgReward(10): 9.55, ε=0.010
Frame 10575, AvgReward(10): 9.55, ε=0.010
Frame 10671, AvgReward(10): 9.52, ε=0.010
Frame 10763, AvgReward(10): 9.51, ε=0.010
Frame 10859, AvgReward(10): 9.51, ε=0.010
Frame 10956, AvgReward(10): 9.52, ε=0.010
Frame 11071, AvgReward(10): 9.53, ε=0.010
Frame 11166, AvgReward(10): 9.53, ε=0.010
Frame 11259, AvgReward(10): 9.53, ε=0.010
Frame 11356, AvgReward(10): 9.53, ε=0.010
Frame 11444, AvgReward(10): 9.52, ε=0.010
Frame 11538, AvgReward(10): 9.52, ε=0.010
Frame 11635, AvgReward(10): 9.50, ε=0.010
