Couldn't import CARP-S, the CARP-S Hypersweeper will not be available.
Couldn't import DEHB, the DEHB Hypersweeper will not be available.
Couldn't import HEBO, the HEBO Hypersweeper will not be available.
Couldn't import NEPS, the NEPS Hypersweeper will not be available.
Couldn't import Nevergrad, the Nevergrad Hypersweeper will not be available.
Frame 220, AvgReward(10): 0.22, ε=0.688
Frame 378, AvgReward(10): 0.38, ε=0.505
Frame 517, AvgReward(10): 0.52, ε=0.385
Frame 638, AvgReward(10): 0.64, ε=0.304
Frame 761, AvgReward(10): 0.76, ε=0.240
Frame 868, AvgReward(10): 0.87, ε=0.196
Frame 971, AvgReward(10): 0.97, ε=0.161
Frame 1087, AvgReward(10): 1.09, ε=0.130
Frame 1243, AvgReward(10): 1.24, ε=0.098
Frame 1357, AvgReward(10): 1.36, ε=0.080
Frame 1462, AvgReward(10): 1.46, ε=0.067
Frame 1555, AvgReward(10): 1.55, ε=0.057
Frame 1649, AvgReward(10): 1.65, ε=0.049
Frame 1744, AvgReward(10): 1.74, ε=0.042
Frame 1844, AvgReward(10): 1.84, ε=0.036
Frame 1937, AvgReward(10): 1.94, ε=0.032
Frame 2035, AvgReward(10): 2.04, ε=0.028
Frame 2179, AvgReward(10): 2.18, ε=0.023
Frame 2282, AvgReward(10): 2.28, ε=0.021
Frame 2379, AvgReward(10): 2.38, ε=0.019
Frame 2472, AvgReward(10): 2.47, ε=0.018
Frame 2597, AvgReward(10): 2.60, ε=0.016
Frame 2712, AvgReward(10): 2.71, ε=0.015
Frame 2835, AvgReward(10): 2.83, ε=0.014
Frame 2931, AvgReward(10): 2.93, ε=0.013
Frame 3025, AvgReward(10): 3.02, ε=0.012
Frame 3181, AvgReward(10): 3.18, ε=0.012
Frame 3271, AvgReward(10): 3.27, ε=0.012
Frame 3389, AvgReward(10): 3.39, ε=0.011
Frame 3504, AvgReward(10): 3.50, ε=0.011
Frame 3606, AvgReward(10): 3.61, ε=0.011
Frame 3699, AvgReward(10): 3.70, ε=0.011
Frame 3789, AvgReward(10): 3.79, ε=0.011
Frame 3890, AvgReward(10): 3.89, ε=0.010
Frame 3990, AvgReward(10): 3.99, ε=0.010
Frame 4099, AvgReward(10): 4.10, ε=0.010
Frame 4194, AvgReward(10): 4.19, ε=0.010
Frame 4287, AvgReward(10): 4.29, ε=0.010
Frame 4381, AvgReward(10): 4.38, ε=0.010
Frame 4479, AvgReward(10): 4.48, ε=0.010
Frame 4574, AvgReward(10): 4.57, ε=0.010
Frame 4666, AvgReward(10): 4.67, ε=0.010
Frame 4761, AvgReward(10): 4.76, ε=0.010
Frame 4854, AvgReward(10): 4.85, ε=0.010
Frame 4946, AvgReward(10): 4.95, ε=0.010
Frame 5035, AvgReward(10): 5.04, ε=0.010
