Couldn't import CARP-S, the CARP-S Hypersweeper will not be available.
Couldn't import DEHB, the DEHB Hypersweeper will not be available.
Couldn't import HEBO, the HEBO Hypersweeper will not be available.
Couldn't import NEPS, the NEPS Hypersweeper will not be available.
Couldn't import Nevergrad, the Nevergrad Hypersweeper will not be available.
Frame 244, AvgReward(10): 0.24, ε=0.657
Frame 422, AvgReward(10): 0.42, ε=0.463
Frame 533, AvgReward(10): 0.53, ε=0.373
Frame 674, AvgReward(10): 0.67, ε=0.284
Frame 804, AvgReward(10): 0.80, ε=0.221
Frame 921, AvgReward(10): 0.92, ε=0.177
Frame 1012, AvgReward(10): 1.01, ε=0.149
Frame 1135, AvgReward(10): 1.14, ε=0.119
Frame 1235, AvgReward(10): 1.24, ε=0.099
Frame 1329, AvgReward(10): 1.33, ε=0.084
Frame 1428, AvgReward(10): 1.43, ε=0.071
Frame 1532, AvgReward(10): 1.53, ε=0.059
Frame 1629, AvgReward(10): 1.63, ε=0.051
Frame 1726, AvgReward(10): 1.73, ε=0.043
Frame 1822, AvgReward(10): 1.82, ε=0.038
Frame 1925, AvgReward(10): 1.93, ε=0.032
Frame 2017, AvgReward(10): 2.02, ε=0.029
Frame 2114, AvgReward(10): 2.11, ε=0.025
Frame 2205, AvgReward(10): 2.21, ε=0.023
Frame 2298, AvgReward(10): 2.30, ε=0.021
Frame 2396, AvgReward(10): 2.40, ε=0.019
Frame 2488, AvgReward(10): 2.49, ε=0.017
Frame 2578, AvgReward(10): 2.58, ε=0.016
Frame 2671, AvgReward(10): 2.67, ε=0.015
Frame 2765, AvgReward(10): 2.77, ε=0.014
Frame 2862, AvgReward(10): 2.86, ε=0.013
Frame 2955, AvgReward(10): 2.96, ε=0.013
Frame 3056, AvgReward(10): 3.06, ε=0.012
Frame 3155, AvgReward(10): 3.15, ε=0.012
Frame 3251, AvgReward(10): 3.25, ε=0.012
Frame 3341, AvgReward(10): 3.34, ε=0.011
Frame 3436, AvgReward(10): 3.44, ε=0.011
Frame 3532, AvgReward(10): 3.53, ε=0.011
Frame 3629, AvgReward(10): 3.63, ε=0.011
Frame 3718, AvgReward(10): 3.72, ε=0.011
Frame 3811, AvgReward(10): 3.81, ε=0.011
Frame 3903, AvgReward(10): 3.90, ε=0.010
Frame 3996, AvgReward(10): 4.00, ε=0.010
Frame 4094, AvgReward(10): 4.09, ε=0.010
Frame 4186, AvgReward(10): 4.19, ε=0.010
Frame 4281, AvgReward(10): 4.28, ε=0.010
Frame 4375, AvgReward(10): 4.38, ε=0.010
Frame 4474, AvgReward(10): 4.47, ε=0.010
Frame 4569, AvgReward(10): 4.57, ε=0.010
Frame 4670, AvgReward(10): 4.67, ε=0.010
Frame 4768, AvgReward(10): 4.77, ε=0.010
Frame 4866, AvgReward(10): 4.87, ε=0.010
Frame 4964, AvgReward(10): 4.96, ε=0.010
Frame 5061, AvgReward(10): 5.06, ε=0.010
Frame 5154, AvgReward(10): 5.15, ε=0.010
Frame 5250, AvgReward(10): 5.25, ε=0.010
Frame 5347, AvgReward(10): 5.35, ε=0.010
Frame 5446, AvgReward(10): 5.45, ε=0.010
Frame 5538, AvgReward(10): 5.54, ε=0.010
Frame 5629, AvgReward(10): 5.63, ε=0.010
Frame 5723, AvgReward(10): 5.72, ε=0.010
Frame 5820, AvgReward(10): 5.82, ε=0.010
Frame 5916, AvgReward(10): 5.92, ε=0.010
Frame 6012, AvgReward(10): 6.01, ε=0.010
Frame 6108, AvgReward(10): 6.11, ε=0.010
Frame 6202, AvgReward(10): 6.20, ε=0.010
Frame 6294, AvgReward(10): 6.29, ε=0.010
Frame 6384, AvgReward(10): 6.38, ε=0.010
Frame 6484, AvgReward(10): 6.48, ε=0.010
Frame 6579, AvgReward(10): 6.58, ε=0.010
Frame 6671, AvgReward(10): 6.67, ε=0.010
Frame 6765, AvgReward(10): 6.76, ε=0.010
Frame 6862, AvgReward(10): 6.86, ε=0.010
Frame 6958, AvgReward(10): 6.96, ε=0.010
Frame 7054, AvgReward(10): 7.05, ε=0.010
Frame 7148, AvgReward(10): 7.15, ε=0.010
Frame 7240, AvgReward(10): 7.24, ε=0.010
Frame 7333, AvgReward(10): 7.33, ε=0.010
Frame 7427, AvgReward(10): 7.43, ε=0.010
Frame 7528, AvgReward(10): 7.53, ε=0.010
Frame 7626, AvgReward(10): 7.63, ε=0.010
Frame 7718, AvgReward(10): 7.72, ε=0.010
Frame 7812, AvgReward(10): 7.81, ε=0.010
Frame 7906, AvgReward(10): 7.91, ε=0.010
Frame 8000, AvgReward(10): 8.00, ε=0.010
Frame 8095, AvgReward(10): 8.10, ε=0.010
Frame 8189, AvgReward(10): 8.19, ε=0.010
Frame 8281, AvgReward(10): 8.28, ε=0.010
Frame 8375, AvgReward(10): 8.38, ε=0.010
Frame 8470, AvgReward(10): 8.47, ε=0.010
Frame 8564, AvgReward(10): 8.56, ε=0.010
Frame 8659, AvgReward(10): 8.66, ε=0.010
Frame 8752, AvgReward(10): 8.75, ε=0.010
Frame 8849, AvgReward(10): 8.85, ε=0.010
Frame 8939, AvgReward(10): 8.94, ε=0.010
Frame 9034, AvgReward(10): 9.03, ε=0.010
Frame 9134, AvgReward(10): 9.13, ε=0.010
Frame 9228, AvgReward(10): 9.23, ε=0.010
Frame 9324, AvgReward(10): 9.32, ε=0.010
Frame 9422, AvgReward(10): 9.42, ε=0.010
Frame 9512, AvgReward(10): 9.51, ε=0.010
Frame 9609, AvgReward(10): 9.61, ε=0.010
Frame 9704, AvgReward(10): 9.70, ε=0.010
Frame 9796, AvgReward(10): 9.80, ε=0.010
Frame 9891, AvgReward(10): 9.89, ε=0.010
Frame 9986, AvgReward(10): 9.74, ε=0.010
Frame 10081, AvgReward(10): 9.66, ε=0.010
Frame 10175, AvgReward(10): 9.64, ε=0.010
Frame 10269, AvgReward(10): 9.60, ε=0.010
Frame 10365, AvgReward(10): 9.56, ε=0.010
Frame 10460, AvgReward(10): 9.54, ε=0.010
Frame 10549, AvgReward(10): 9.54, ε=0.010
Frame 10640, AvgReward(10): 9.51, ε=0.010
Frame 10730, AvgReward(10): 9.49, ε=0.010
Frame 10824, AvgReward(10): 9.49, ε=0.010
Frame 10918, AvgReward(10): 9.49, ε=0.010
Frame 11007, AvgReward(10): 9.47, ε=0.010
Frame 11105, AvgReward(10): 9.48, ε=0.010
Frame 11202, AvgReward(10): 9.48, ε=0.010
Frame 11296, AvgReward(10): 9.47, ε=0.010
Frame 11388, AvgReward(10): 9.46, ε=0.010
Frame 11484, AvgReward(10): 9.47, ε=0.010
Frame 11576, AvgReward(10): 9.46, ε=0.010
Frame 11667, AvgReward(10): 9.46, ε=0.010
Frame 11763, AvgReward(10): 9.46, ε=0.010
Frame 11860, AvgReward(10): 9.46, ε=0.010
Frame 11949, AvgReward(10): 9.46, ε=0.010
Frame 12042, AvgReward(10): 9.46, ε=0.010
Frame 12135, AvgReward(10): 9.46, ε=0.010
Frame 12229, AvgReward(10): 9.46, ε=0.010
Frame 12323, AvgReward(10): 9.46, ε=0.010
Frame 12413, AvgReward(10): 9.46, ε=0.010
Frame 12509, AvgReward(10): 9.45, ε=0.010
Frame 12604, AvgReward(10): 9.45, ε=0.010
Frame 12697, AvgReward(10): 9.45, ε=0.010
Frame 12787, AvgReward(10): 9.45, ε=0.010
Frame 12880, AvgReward(10): 9.44, ε=0.010
Frame 12971, AvgReward(10): 9.44, ε=0.010
Frame 13066, AvgReward(10): 9.44, ε=0.010
Frame 13160, AvgReward(10): 9.44, ε=0.010
Frame 13252, AvgReward(10): 9.44, ε=0.010
Frame 13349, AvgReward(10): 9.45, ε=0.010
Frame 13450, AvgReward(10): 9.45, ε=0.010
Frame 13544, AvgReward(10): 9.45, ε=0.010
Frame 13640, AvgReward(10): 9.45, ε=0.010
Frame 13732, AvgReward(10): 9.45, ε=0.010
Frame 13832, AvgReward(10): 9.46, ε=0.010
Frame 13925, AvgReward(10): 9.45, ε=0.010
Frame 14018, AvgReward(10): 9.45, ε=0.010
Frame 14126, AvgReward(10): 9.46, ε=0.010
Frame 14222, AvgReward(10): 9.45, ε=0.010
Frame 14315, AvgReward(10): 9.45, ε=0.010
Frame 14413, AvgReward(10): 9.45, ε=0.010
Frame 14508, AvgReward(10): 9.45, ε=0.010
Frame 14605, AvgReward(10): 9.45, ε=0.010
Frame 14701, AvgReward(10): 9.45, ε=0.010
Frame 14801, AvgReward(10): 9.45, ε=0.010
Frame 14894, AvgReward(10): 9.45, ε=0.010
Frame 14983, AvgReward(10): 9.45, ε=0.010
Frame 15080, AvgReward(10): 9.45, ε=0.010
Frame 15174, AvgReward(10): 9.45, ε=0.010
Frame 15267, AvgReward(10): 9.45, ε=0.010
Frame 15368, AvgReward(10): 9.45, ε=0.010
Frame 15465, AvgReward(10): 9.45, ε=0.010
Frame 15565, AvgReward(10): 9.46, ε=0.010
Frame 15663, AvgReward(10): 9.46, ε=0.010
Frame 15761, AvgReward(10): 9.47, ε=0.010
Frame 15853, AvgReward(10): 9.47, ε=0.010
Frame 15947, AvgReward(10): 9.46, ε=0.010
Frame 16043, AvgReward(10): 9.46, ε=0.010
Frame 16136, AvgReward(10): 9.46, ε=0.010
Frame 16231, AvgReward(10): 9.47, ε=0.010
Frame 16327, AvgReward(10): 9.46, ε=0.010
Frame 16419, AvgReward(10): 9.46, ε=0.010
Frame 16511, AvgReward(10): 9.46, ε=0.010
Frame 16606, AvgReward(10): 9.46, ε=0.010
Frame 16702, AvgReward(10): 9.46, ε=0.010
Frame 16799, AvgReward(10): 9.47, ε=0.010
Frame 16892, AvgReward(10): 9.46, ε=0.010
Frame 16985, AvgReward(10): 9.46, ε=0.010
Frame 17080, AvgReward(10): 9.45, ε=0.010
Frame 17171, AvgReward(10): 9.45, ε=0.010
Frame 17266, AvgReward(10): 9.45, ε=0.010
Frame 17355, AvgReward(10): 9.45, ε=0.010
Frame 17446, AvgReward(10): 9.45, ε=0.010
Frame 17543, AvgReward(10): 9.45, ε=0.010
Frame 17633, AvgReward(10): 9.44, ε=0.010
Frame 17727, AvgReward(10): 9.45, ε=0.010
Frame 17823, AvgReward(10): 9.45, ε=0.010
Frame 17916, AvgReward(10): 9.45, ε=0.010
Frame 18012, AvgReward(10): 9.45, ε=0.010
Frame 18105, AvgReward(10): 9.45, ε=0.010
Frame 18200, AvgReward(10): 9.45, ε=0.010
Frame 18291, AvgReward(10): 9.44, ε=0.010
Frame 18382, AvgReward(10): 9.44, ε=0.010
Frame 18474, AvgReward(10): 9.44, ε=0.010
Frame 18568, AvgReward(10): 9.43, ε=0.010
Frame 18659, AvgReward(10): 9.43, ε=0.010
Frame 18752, AvgReward(10): 9.43, ε=0.010
Frame 18849, AvgReward(10): 9.43, ε=0.010
Frame 18939, AvgReward(10): 9.43, ε=0.010
Frame 19033, AvgReward(10): 9.42, ε=0.010
Frame 19124, AvgReward(10): 9.42, ε=0.010
Frame 19217, AvgReward(10): 9.42, ε=0.010
Frame 19310, AvgReward(10): 9.42, ε=0.010
Frame 19404, AvgReward(10): 9.42, ε=0.010
Frame 19499, AvgReward(10): 9.42, ε=0.010
Frame 19594, AvgReward(10): 9.42, ε=0.010
Frame 19691, AvgReward(10): 9.42, ε=0.010
Frame 19783, AvgReward(10): 9.42, ε=0.010
Frame 19878, AvgReward(10): 9.42, ε=0.010
Frame 19974, AvgReward(10): 9.43, ε=0.010
Training complete.
