Couldn't import CARP-S, the CARP-S Hypersweeper will not be available.
Couldn't import DEHB, the DEHB Hypersweeper will not be available.
Couldn't import HEBO, the HEBO Hypersweeper will not be available.
Couldn't import NEPS, the NEPS Hypersweeper will not be available.
Couldn't import Nevergrad, the Nevergrad Hypersweeper will not be available.
Frame 204, AvgReward(10): 0.20, ε=0.710
Frame 358, AvgReward(10): 0.36, ε=0.525
Frame 507, AvgReward(10): 0.51, ε=0.392
Frame 614, AvgReward(10): 0.61, ε=0.318
Frame 723, AvgReward(10): 0.72, ε=0.258
Frame 822, AvgReward(10): 0.82, ε=0.214
Frame 932, AvgReward(10): 0.93, ε=0.173
Frame 1032, AvgReward(10): 1.03, ε=0.144
Frame 1139, AvgReward(10): 1.14, ε=0.118
Frame 1236, AvgReward(10): 1.24, ε=0.099
Frame 1338, AvgReward(10): 1.34, ε=0.083
Frame 1434, AvgReward(10): 1.43, ε=0.070
Frame 1528, AvgReward(10): 1.53, ε=0.060
Frame 1624, AvgReward(10): 1.62, ε=0.051
Frame 1723, AvgReward(10): 1.72, ε=0.044
Frame 1817, AvgReward(10): 1.82, ε=0.038
Frame 1912, AvgReward(10): 1.91, ε=0.033
Frame 2010, AvgReward(10): 2.01, ε=0.029
Frame 2110, AvgReward(10): 2.11, ε=0.025
Frame 2204, AvgReward(10): 2.20, ε=0.023
Frame 2294, AvgReward(10): 2.29, ε=0.021
Frame 2391, AvgReward(10): 2.39, ε=0.019
Frame 2491, AvgReward(10): 2.49, ε=0.017
Frame 2590, AvgReward(10): 2.59, ε=0.016
Frame 2686, AvgReward(10): 2.69, ε=0.015
Frame 2777, AvgReward(10): 2.78, ε=0.014
Frame 2871, AvgReward(10): 2.87, ε=0.013
Frame 2959, AvgReward(10): 2.96, ε=0.013
Frame 3054, AvgReward(10): 3.05, ε=0.012
Frame 3153, AvgReward(10): 3.15, ε=0.012
Frame 3249, AvgReward(10): 3.25, ε=0.012
Frame 3343, AvgReward(10): 3.34, ε=0.011
Frame 3434, AvgReward(10): 3.43, ε=0.011
Frame 3527, AvgReward(10): 3.53, ε=0.011
Frame 3625, AvgReward(10): 3.62, ε=0.011
Frame 3721, AvgReward(10): 3.72, ε=0.011
Frame 3816, AvgReward(10): 3.82, ε=0.011
Frame 3909, AvgReward(10): 3.91, ε=0.010
Frame 4001, AvgReward(10): 4.00, ε=0.010
Frame 4111, AvgReward(10): 4.11, ε=0.010
Frame 4204, AvgReward(10): 4.20, ε=0.010
Frame 4297, AvgReward(10): 4.30, ε=0.010
Frame 4391, AvgReward(10): 4.39, ε=0.010
Frame 4484, AvgReward(10): 4.48, ε=0.010
Frame 4574, AvgReward(10): 4.57, ε=0.010
Frame 4663, AvgReward(10): 4.66, ε=0.010
Frame 4756, AvgReward(10): 4.76, ε=0.010
Frame 4847, AvgReward(10): 4.85, ε=0.010
Frame 4937, AvgReward(10): 4.94, ε=0.010
Frame 5031, AvgReward(10): 5.03, ε=0.010
Frame 5135, AvgReward(10): 5.13, ε=0.010
Frame 5226, AvgReward(10): 5.23, ε=0.010
Frame 5320, AvgReward(10): 5.32, ε=0.010
Frame 5413, AvgReward(10): 5.41, ε=0.010
Frame 5510, AvgReward(10): 5.51, ε=0.010
Frame 5602, AvgReward(10): 5.60, ε=0.010
Frame 5693, AvgReward(10): 5.69, ε=0.010
Frame 5784, AvgReward(10): 5.78, ε=0.010
Frame 5876, AvgReward(10): 5.88, ε=0.010
Frame 5971, AvgReward(10): 5.97, ε=0.010
Frame 6065, AvgReward(10): 6.07, ε=0.010
Frame 6164, AvgReward(10): 6.16, ε=0.010
Frame 6259, AvgReward(10): 6.26, ε=0.010
Frame 6347, AvgReward(10): 6.35, ε=0.010
Frame 6438, AvgReward(10): 6.44, ε=0.010
Frame 6537, AvgReward(10): 6.54, ε=0.010
