Couldn't import CARP-S, the CARP-S Hypersweeper will not be available.
Couldn't import DEHB, the DEHB Hypersweeper will not be available.
Couldn't import HEBO, the HEBO Hypersweeper will not be available.
Couldn't import NEPS, the NEPS Hypersweeper will not be available.
Couldn't import Nevergrad, the Nevergrad Hypersweeper will not be available.
Frame 238, AvgReward(10): 0.24, ε=0.708
Frame 386, AvgReward(10): 0.39, ε=0.529
Frame 519, AvgReward(10): 0.52, ε=0.408
Frame 625, AvgReward(10): 0.62, ε=0.332
Frame 736, AvgReward(10): 0.74, ε=0.268
Frame 839, AvgReward(10): 0.84, ε=0.220
Frame 953, AvgReward(10): 0.95, ε=0.177
Frame 1050, AvgReward(10): 1.05, ε=0.148
Frame 1178, AvgReward(10): 1.18, ε=0.116
Frame 1276, AvgReward(10): 1.28, ε=0.098
Frame 1380, AvgReward(10): 1.38, ε=0.081
Frame 1478, AvgReward(10): 1.48, ε=0.068
Frame 1578, AvgReward(10): 1.58, ε=0.058
Frame 1671, AvgReward(10): 1.67, ε=0.050
Frame 1765, AvgReward(10): 1.76, ε=0.043
Frame 1861, AvgReward(10): 1.86, ε=0.037
Frame 1960, AvgReward(10): 1.96, ε=0.032
Frame 2058, AvgReward(10): 2.06, ε=0.028
Frame 2187, AvgReward(10): 2.19, ε=0.024
Frame 2286, AvgReward(10): 2.29, ε=0.022
Frame 2377, AvgReward(10): 2.38, ε=0.020
Frame 2474, AvgReward(10): 2.47, ε=0.018
Frame 2570, AvgReward(10): 2.57, ε=0.017
Frame 2666, AvgReward(10): 2.67, ε=0.015
Frame 2762, AvgReward(10): 2.76, ε=0.014
Frame 2852, AvgReward(10): 2.85, ε=0.014
Frame 2948, AvgReward(10): 2.95, ε=0.013
Frame 3036, AvgReward(10): 3.04, ε=0.013
Frame 3157, AvgReward(10): 3.16, ε=0.012
Frame 3250, AvgReward(10): 3.25, ε=0.012
Frame 3348, AvgReward(10): 3.35, ε=0.011
Frame 3442, AvgReward(10): 3.44, ε=0.011
Frame 3532, AvgReward(10): 3.53, ε=0.011
Frame 3624, AvgReward(10): 3.62, ε=0.011
Frame 3723, AvgReward(10): 3.72, ε=0.011
Frame 3820, AvgReward(10): 3.82, ε=0.011
Frame 3915, AvgReward(10): 3.92, ε=0.010
Frame 4008, AvgReward(10): 4.01, ε=0.010
Frame 4100, AvgReward(10): 4.10, ε=0.010
Frame 4194, AvgReward(10): 4.19, ε=0.010
Frame 4288, AvgReward(10): 4.29, ε=0.010
Frame 4383, AvgReward(10): 4.38, ε=0.010
Frame 4478, AvgReward(10): 4.48, ε=0.010
Frame 4571, AvgReward(10): 4.57, ε=0.010
Frame 4661, AvgReward(10): 4.66, ε=0.010
Frame 4749, AvgReward(10): 4.75, ε=0.010
Frame 4842, AvgReward(10): 4.84, ε=0.010
Frame 4933, AvgReward(10): 4.93, ε=0.010
Frame 5023, AvgReward(10): 5.02, ε=0.010
Frame 5135, AvgReward(10): 5.13, ε=0.010
Frame 5230, AvgReward(10): 5.23, ε=0.010
Frame 5321, AvgReward(10): 5.32, ε=0.010
Frame 5413, AvgReward(10): 5.41, ε=0.010
Frame 5506, AvgReward(10): 5.51, ε=0.010
Frame 5603, AvgReward(10): 5.60, ε=0.010
Frame 5695, AvgReward(10): 5.70, ε=0.010
Frame 5786, AvgReward(10): 5.79, ε=0.010
Frame 5877, AvgReward(10): 5.88, ε=0.010
Frame 5967, AvgReward(10): 5.97, ε=0.010
Frame 6064, AvgReward(10): 6.06, ε=0.010
Frame 6163, AvgReward(10): 6.16, ε=0.010
Frame 6261, AvgReward(10): 6.26, ε=0.010
Frame 6351, AvgReward(10): 6.35, ε=0.010
Frame 6447, AvgReward(10): 6.45, ε=0.010
Frame 6545, AvgReward(10): 6.54, ε=0.010
Frame 6641, AvgReward(10): 6.64, ε=0.010
Frame 6735, AvgReward(10): 6.74, ε=0.010
Frame 6827, AvgReward(10): 6.83, ε=0.010
Frame 6925, AvgReward(10): 6.92, ε=0.010
Frame 7018, AvgReward(10): 7.02, ε=0.010
Frame 7116, AvgReward(10): 7.12, ε=0.010
Frame 7209, AvgReward(10): 7.21, ε=0.010
Frame 7302, AvgReward(10): 7.30, ε=0.010
Frame 7397, AvgReward(10): 7.40, ε=0.010
Frame 7495, AvgReward(10): 7.50, ε=0.010
Frame 7593, AvgReward(10): 7.59, ε=0.010
Frame 7685, AvgReward(10): 7.68, ε=0.010
Frame 7779, AvgReward(10): 7.78, ε=0.010
Frame 7875, AvgReward(10): 7.88, ε=0.010
Frame 7973, AvgReward(10): 7.97, ε=0.010
Frame 8068, AvgReward(10): 8.07, ε=0.010
Frame 8161, AvgReward(10): 8.16, ε=0.010
Frame 8253, AvgReward(10): 8.25, ε=0.010
Frame 8347, AvgReward(10): 8.35, ε=0.010
Frame 8441, AvgReward(10): 8.44, ε=0.010
Frame 8537, AvgReward(10): 8.54, ε=0.010
Frame 8633, AvgReward(10): 8.63, ε=0.010
Frame 8726, AvgReward(10): 8.73, ε=0.010
Frame 8824, AvgReward(10): 8.82, ε=0.010
Frame 8914, AvgReward(10): 8.91, ε=0.010
Frame 9009, AvgReward(10): 9.01, ε=0.010
Frame 9107, AvgReward(10): 9.11, ε=0.010
Frame 9203, AvgReward(10): 9.20, ε=0.010
Frame 9299, AvgReward(10): 9.30, ε=0.010
Frame 9395, AvgReward(10): 9.39, ε=0.010
Frame 9485, AvgReward(10): 9.48, ε=0.010
Frame 9582, AvgReward(10): 9.58, ε=0.010
Frame 9676, AvgReward(10): 9.68, ε=0.010
Frame 9768, AvgReward(10): 9.77, ε=0.010
Frame 9862, AvgReward(10): 9.86, ε=0.010
Frame 9955, AvgReward(10): 9.72, ε=0.010
Frame 10051, AvgReward(10): 9.66, ε=0.010
Frame 10145, AvgReward(10): 9.63, ε=0.010
Frame 10237, AvgReward(10): 9.61, ε=0.010
Frame 10333, AvgReward(10): 9.60, ε=0.010
Frame 10428, AvgReward(10): 9.59, ε=0.010
Frame 10520, AvgReward(10): 9.57, ε=0.010
Frame 10610, AvgReward(10): 9.56, ε=0.010
Frame 10700, AvgReward(10): 9.52, ε=0.010
Frame 10794, AvgReward(10): 9.52, ε=0.010
Frame 10885, AvgReward(10): 9.51, ε=0.010
Frame 10974, AvgReward(10): 9.50, ε=0.010
Frame 11069, AvgReward(10): 9.49, ε=0.010
Frame 11163, AvgReward(10): 9.49, ε=0.010
Frame 11257, AvgReward(10): 9.49, ε=0.010
Frame 11350, AvgReward(10): 9.49, ε=0.010
Frame 11446, AvgReward(10): 9.49, ε=0.010
Frame 11538, AvgReward(10): 9.48, ε=0.010
Frame 11629, AvgReward(10): 9.44, ε=0.010
Frame 11724, AvgReward(10): 9.44, ε=0.010
Frame 11821, AvgReward(10): 9.44, ε=0.010
Frame 11911, AvgReward(10): 9.44, ε=0.010
Frame 12002, AvgReward(10): 9.43, ε=0.010
Frame 12096, AvgReward(10): 9.43, ε=0.010
Frame 12190, AvgReward(10): 9.43, ε=0.010
Frame 12283, AvgReward(10): 9.43, ε=0.010
Frame 12375, AvgReward(10): 9.43, ε=0.010
Frame 12470, AvgReward(10): 9.43, ε=0.010
Frame 12565, AvgReward(10): 9.41, ε=0.010
Frame 12658, AvgReward(10): 9.41, ε=0.010
Frame 12746, AvgReward(10): 9.40, ε=0.010
Frame 12838, AvgReward(10): 9.40, ε=0.010
