Couldn't import CARP-S, the CARP-S Hypersweeper will not be available.
Couldn't import DEHB, the DEHB Hypersweeper will not be available.
Couldn't import HEBO, the HEBO Hypersweeper will not be available.
Couldn't import NEPS, the NEPS Hypersweeper will not be available.
Couldn't import Nevergrad, the Nevergrad Hypersweeper will not be available.
Frame 197, AvgReward(10): 0.20, ε=0.720
Frame 339, AvgReward(10): 0.34, ε=0.545
Frame 476, AvgReward(10): 0.48, ε=0.417
Frame 579, AvgReward(10): 0.58, ε=0.341
Frame 686, AvgReward(10): 0.69, ε=0.277
Frame 785, AvgReward(10): 0.79, ε=0.229
Frame 895, AvgReward(10): 0.90, ε=0.186
Frame 994, AvgReward(10): 0.99, ε=0.154
Frame 1097, AvgReward(10): 1.10, ε=0.127
Frame 1197, AvgReward(10): 1.20, ε=0.106
Frame 1300, AvgReward(10): 1.30, ε=0.088
Frame 1392, AvgReward(10): 1.39, ε=0.075
Frame 1488, AvgReward(10): 1.49, ε=0.064
Frame 1582, AvgReward(10): 1.58, ε=0.055
Frame 1679, AvgReward(10): 1.68, ε=0.047
Frame 1776, AvgReward(10): 1.78, ε=0.040
Frame 1873, AvgReward(10): 1.87, ε=0.035
Frame 1971, AvgReward(10): 1.97, ε=0.030
Frame 2091, AvgReward(10): 2.09, ε=0.026
Frame 2185, AvgReward(10): 2.19, ε=0.023
Frame 2275, AvgReward(10): 2.27, ε=0.021
Frame 2372, AvgReward(10): 2.37, ε=0.019
Frame 2471, AvgReward(10): 2.47, ε=0.018
Frame 2570, AvgReward(10): 2.57, ε=0.016
Frame 2666, AvgReward(10): 2.67, ε=0.015
Frame 2759, AvgReward(10): 2.76, ε=0.014
Frame 2853, AvgReward(10): 2.85, ε=0.014
Frame 2941, AvgReward(10): 2.94, ε=0.013
Frame 3036, AvgReward(10): 3.04, ε=0.012
Frame 3161, AvgReward(10): 3.16, ε=0.012
Frame 3257, AvgReward(10): 3.26, ε=0.012
Frame 3352, AvgReward(10): 3.35, ε=0.011
Frame 3442, AvgReward(10): 3.44, ε=0.011
Frame 3535, AvgReward(10): 3.54, ε=0.011
Frame 3632, AvgReward(10): 3.63, ε=0.011
Frame 3728, AvgReward(10): 3.73, ε=0.011
Frame 3823, AvgReward(10): 3.82, ε=0.011
Frame 3916, AvgReward(10): 3.92, ε=0.010
Frame 4008, AvgReward(10): 4.01, ε=0.010
Frame 4102, AvgReward(10): 4.10, ε=0.010
Frame 4195, AvgReward(10): 4.20, ε=0.010
Frame 4288, AvgReward(10): 4.29, ε=0.010
Frame 4382, AvgReward(10): 4.38, ε=0.010
Frame 4476, AvgReward(10): 4.48, ε=0.010
Frame 4566, AvgReward(10): 4.57, ε=0.010
Frame 4656, AvgReward(10): 4.66, ε=0.010
Frame 4750, AvgReward(10): 4.75, ε=0.010
Frame 4841, AvgReward(10): 4.84, ε=0.010
Frame 4931, AvgReward(10): 4.93, ε=0.010
Frame 5025, AvgReward(10): 5.03, ε=0.010
Frame 5126, AvgReward(10): 5.13, ε=0.010
Frame 5219, AvgReward(10): 5.22, ε=0.010
Frame 5314, AvgReward(10): 5.31, ε=0.010
Frame 5407, AvgReward(10): 5.41, ε=0.010
Frame 5505, AvgReward(10): 5.50, ε=0.010
Frame 5597, AvgReward(10): 5.60, ε=0.010
Frame 5688, AvgReward(10): 5.69, ε=0.010
Frame 5783, AvgReward(10): 5.78, ε=0.010
Frame 5871, AvgReward(10): 5.87, ε=0.010
Frame 5966, AvgReward(10): 5.97, ε=0.010
Frame 6074, AvgReward(10): 6.07, ε=0.010
Frame 6168, AvgReward(10): 6.17, ε=0.010
Frame 6265, AvgReward(10): 6.26, ε=0.010
Frame 6356, AvgReward(10): 6.36, ε=0.010
Frame 6445, AvgReward(10): 6.45, ε=0.010
Frame 6541, AvgReward(10): 6.54, ε=0.010
Frame 6636, AvgReward(10): 6.64, ε=0.010
Frame 6730, AvgReward(10): 6.73, ε=0.010
Frame 6829, AvgReward(10): 6.83, ε=0.010
Frame 6922, AvgReward(10): 6.92, ε=0.010
Frame 7016, AvgReward(10): 7.02, ε=0.010
Frame 7116, AvgReward(10): 7.12, ε=0.010
Frame 7213, AvgReward(10): 7.21, ε=0.010
Frame 7308, AvgReward(10): 7.31, ε=0.010
Frame 7405, AvgReward(10): 7.41, ε=0.010
Frame 7504, AvgReward(10): 7.50, ε=0.010
Frame 7597, AvgReward(10): 7.60, ε=0.010
Frame 7696, AvgReward(10): 7.70, ε=0.010
Frame 7795, AvgReward(10): 7.79, ε=0.010
Frame 7889, AvgReward(10): 7.89, ε=0.010
Frame 7984, AvgReward(10): 7.98, ε=0.010
Frame 8084, AvgReward(10): 8.08, ε=0.010
Frame 8177, AvgReward(10): 8.18, ε=0.010
Frame 8272, AvgReward(10): 8.27, ε=0.010
Frame 8363, AvgReward(10): 8.36, ε=0.010
Frame 8458, AvgReward(10): 8.46, ε=0.010
Frame 8551, AvgReward(10): 8.55, ε=0.010
Frame 8645, AvgReward(10): 8.64, ε=0.010
Frame 8741, AvgReward(10): 8.74, ε=0.010
Frame 8834, AvgReward(10): 8.83, ε=0.010
Frame 8931, AvgReward(10): 8.93, ε=0.010
Frame 9027, AvgReward(10): 9.03, ε=0.010
