Couldn't import CARP-S, the CARP-S Hypersweeper will not be available.
Couldn't import DEHB, the DEHB Hypersweeper will not be available.
Couldn't import HEBO, the HEBO Hypersweeper will not be available.
Couldn't import NEPS, the NEPS Hypersweeper will not be available.
Couldn't import Nevergrad, the Nevergrad Hypersweeper will not be available.
Frame 197, AvgReward(10): 0.20, ε=0.720
Frame 339, AvgReward(10): 0.34, ε=0.545
Frame 476, AvgReward(10): 0.48, ε=0.417
Frame 579, AvgReward(10): 0.58, ε=0.341
Frame 686, AvgReward(10): 0.69, ε=0.277
Frame 785, AvgReward(10): 0.79, ε=0.229
Frame 895, AvgReward(10): 0.90, ε=0.186
Frame 994, AvgReward(10): 0.99, ε=0.154
Frame 1119, AvgReward(10): 1.12, ε=0.122
Frame 1218, AvgReward(10): 1.22, ε=0.102
Frame 1320, AvgReward(10): 1.32, ε=0.085
Frame 1413, AvgReward(10): 1.41, ε=0.072
Frame 1507, AvgReward(10): 1.51, ε=0.062
Frame 1600, AvgReward(10): 1.60, ε=0.053
Frame 1698, AvgReward(10): 1.70, ε=0.045
Frame 1792, AvgReward(10): 1.79, ε=0.039
Frame 1888, AvgReward(10): 1.89, ε=0.034
Frame 1988, AvgReward(10): 1.99, ε=0.030
Frame 2106, AvgReward(10): 2.11, ε=0.026
Frame 2201, AvgReward(10): 2.20, ε=0.023
Frame 2294, AvgReward(10): 2.29, ε=0.021
Frame 2390, AvgReward(10): 2.39, ε=0.019
Frame 2486, AvgReward(10): 2.49, ε=0.017
Frame 2585, AvgReward(10): 2.58, ε=0.016
Frame 2681, AvgReward(10): 2.68, ε=0.015
Frame 2773, AvgReward(10): 2.77, ε=0.014
Frame 2869, AvgReward(10): 2.87, ε=0.013
Frame 2959, AvgReward(10): 2.96, ε=0.013
Frame 3055, AvgReward(10): 3.06, ε=0.012
Frame 3156, AvgReward(10): 3.16, ε=0.012
Frame 3253, AvgReward(10): 3.25, ε=0.012
Frame 3348, AvgReward(10): 3.35, ε=0.011
Frame 3438, AvgReward(10): 3.44, ε=0.011
Frame 3530, AvgReward(10): 3.53, ε=0.011
Frame 3628, AvgReward(10): 3.63, ε=0.011
Frame 3725, AvgReward(10): 3.73, ε=0.011
Frame 3825, AvgReward(10): 3.83, ε=0.011
Frame 3918, AvgReward(10): 3.92, ε=0.010
Frame 4010, AvgReward(10): 4.01, ε=0.010
Frame 4106, AvgReward(10): 4.11, ε=0.010
Frame 4198, AvgReward(10): 4.20, ε=0.010
Frame 4291, AvgReward(10): 4.29, ε=0.010
Frame 4385, AvgReward(10): 4.38, ε=0.010
Frame 4478, AvgReward(10): 4.48, ε=0.010
Frame 4568, AvgReward(10): 4.57, ε=0.010
Frame 4656, AvgReward(10): 4.66, ε=0.010
Frame 4749, AvgReward(10): 4.75, ε=0.010
Frame 4840, AvgReward(10): 4.84, ε=0.010
Frame 4930, AvgReward(10): 4.93, ε=0.010
Frame 5023, AvgReward(10): 5.02, ε=0.010
Frame 5124, AvgReward(10): 5.12, ε=0.010
Frame 5217, AvgReward(10): 5.22, ε=0.010
Frame 5309, AvgReward(10): 5.31, ε=0.010
Frame 5402, AvgReward(10): 5.40, ε=0.010
Frame 5500, AvgReward(10): 5.50, ε=0.010
Frame 5592, AvgReward(10): 5.59, ε=0.010
Frame 5683, AvgReward(10): 5.68, ε=0.010
Frame 5775, AvgReward(10): 5.78, ε=0.010
Frame 5865, AvgReward(10): 5.87, ε=0.010
Frame 5960, AvgReward(10): 5.96, ε=0.010
Frame 6062, AvgReward(10): 6.06, ε=0.010
Frame 6156, AvgReward(10): 6.16, ε=0.010
Frame 6251, AvgReward(10): 6.25, ε=0.010
Frame 6339, AvgReward(10): 6.34, ε=0.010
Frame 6430, AvgReward(10): 6.43, ε=0.010
Frame 6529, AvgReward(10): 6.53, ε=0.010
Frame 6622, AvgReward(10): 6.62, ε=0.010
Frame 6713, AvgReward(10): 6.71, ε=0.010
Frame 6804, AvgReward(10): 6.80, ε=0.010
Frame 6897, AvgReward(10): 6.90, ε=0.010
Frame 6991, AvgReward(10): 6.99, ε=0.010
Frame 7087, AvgReward(10): 7.09, ε=0.010
Frame 7181, AvgReward(10): 7.18, ε=0.010
Frame 7277, AvgReward(10): 7.28, ε=0.010
Frame 7372, AvgReward(10): 7.37, ε=0.010
Frame 7462, AvgReward(10): 7.46, ε=0.010
Frame 7556, AvgReward(10): 7.56, ε=0.010
Frame 7652, AvgReward(10): 7.65, ε=0.010
Frame 7748, AvgReward(10): 7.75, ε=0.010
Frame 7845, AvgReward(10): 7.84, ε=0.010
Frame 7938, AvgReward(10): 7.94, ε=0.010
Frame 8032, AvgReward(10): 8.03, ε=0.010
Frame 8138, AvgReward(10): 8.14, ε=0.010
Frame 8232, AvgReward(10): 8.23, ε=0.010
Frame 8323, AvgReward(10): 8.32, ε=0.010
Frame 8419, AvgReward(10): 8.42, ε=0.010
Frame 8512, AvgReward(10): 8.51, ε=0.010
Frame 8606, AvgReward(10): 8.61, ε=0.010
Frame 8703, AvgReward(10): 8.70, ε=0.010
Frame 8793, AvgReward(10): 8.79, ε=0.010
Frame 8888, AvgReward(10): 8.89, ε=0.010
Frame 8986, AvgReward(10): 8.99, ε=0.010
